"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Weimar","Thüringen","Weimar, Thüringen","(TH)",5.975,6.3375,4.00851006944445,3,7.66
"Würzburg","Bayern","Würzburg, Bayern","(BY)",5.3875,7.1875,4.36659618055556,3,7.6
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern","(MV)",5.025,3.2125,5.93683680555556,4,7.4
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein","(SH)",5.375,2.125,3.96366909722222,3,13.5
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen","(NI)",6.2,5.4,5.89783055555556,4,9.6
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern","(MV)",5.7,2.5125,7.07039618055556,3,6.77
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern","(MV)",5.825,2.25,6.04157777777778,3,4.2
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern","(BY)",3.75,5.8,3.80517152777778,2,56.3
"Bad Schandau","Sachsen","Bad Schandau, Sachsen","(SN)",4.3,5.25,4.31302604166667,3,16.9
"Bad Zwischenahn","Niedersachsen","Bad Zwischenahn, Niedersachsen","(NI)",6.1375,5.925,5.33098472222222,4,11.2
"Regensburg","Bayern","Regensburg, Bayern","(BY)",4.7875,5.6375,3.44155138888889,3,11.6
"Titisee-Neustadt","Baden-Württemberg","Titisee-Neustadt, Baden-Württemberg","(BW)",4.3375,4.3625,5.23574965277778,2,26.71
"Bernkastel-Kues","Rheinland-Pfalz","Bernkastel-Kues, Rheinland-Pfalz","(RP)",5.3375,8.6625,3.538028125,2,11.13
"Wilhelmshaven","Niedersachsen","Wilhelmshaven, Niedersachsen","(NI)",5.9625,5.3375,5.82694722222222,4,13.9
"Husum","Schleswig-Holstein","Husum, Schleswig-Holstein","(SH)",5.7625,2.7375,6.28073229166667,3,13.63
"Dortmund","Nordrhein-Westfalen","Dortmund, Nordrhein-Westfalen","(NW)",4.45,6.9,2.44241215277778,2,19.75
"Neuharlingersiel","Niedersachsen","Neuharlingersiel, Niedersachsen","(NI)",6.25,5.375,6.01351041666667,4,8.8
"Kassel","Hessen","Kassel, Hessen","(HE)",5.525,6.6375,3.89479027777778,4,6.8
"Friedrichshafen","Baden-Württemberg","Friedrichshafen, Baden-Württemberg","(BW)",5.0125,7.0875,4.41852569444444,4,28.65
"Mainz","Rheinland-Pfalz","Mainz, Rheinland-Pfalz","(RP)",6.5625,8.025,5.40004548611111,4,8.6
"Helgoland","Schleswig-Holstein","Helgoland, Schleswig-Holstein","(SH)",6.3875,4.15,6.43323090277778,4,7
"Mannheim","Baden-Württemberg","Mannheim, Baden-Württemberg","(BW)",6.35,8.4,4.47624618055556,5,11.3
"Überlingen","Baden-Württemberg","Überlingen, Baden-Württemberg","(BW)",5.75,7.3,4.94184166666667,4,27.81
"Bansin","Mecklenburg-Vorpommern","Bansin, Mecklenburg-Vorpommern","(MV)",5.85,2.275,6.07774618055556,3,4.3
"Bensersiel","Niedersachsen","Bensersiel, Niedersachsen","(NI)",5.575,5.1875,3.02868993055556,4,10.9
"Bonn","Nordrhein-Westfalen","Bonn, Nordrhein-Westfalen","(NW)",5.175,8.45,3.72348888888889,2,11.5
"Karlsruhe","Baden-Württemberg","Karlsruhe, Baden-Württemberg","(BW)",5.3125,8.9,4.23624270833333,3,8
"Aachen","Nordrhein-Westfalen","Aachen, Nordrhein-Westfalen","(NW)",4.7375,8.1375,2.66036805555556,1,17.13
"Passau","Bayern","Passau, Bayern","(BY)",4.4875,5.6375,3.67890763888889,3,23.1
"Flensburg","Schleswig-Holstein","Flensburg, Schleswig-Holstein","(SH)",5.6375,2.5875,6.22223888888889,3,13.86
"Wiesbaden","Hessen","Wiesbaden, Hessen","(HE)",6.25,7.225,5.24827951388889,4,7.9
"Quedlinburg","Sachsen-Anhalt","Quedlinburg, Sachsen-Anhalt","(ST)",5.15,5.95,4.945009375,3,5.96
"Magdeburg","Sachsen-Anhalt","Magdeburg, Sachsen-Anhalt","(ST)",5.0375,5.775,4.45612604166667,4,7.96
"Bad Reichenhall","Bayern","Bad Reichenhall, Bayern","(BY)",3.5,5.8875,4.06740069444444,2,50.6
"Goslar","Niedersachsen","Goslar, Niedersachsen","(NI)",3.9,5.55,3.61403055555556,3,18.06
"Prerow","Mecklenburg-Vorpommern","Prerow, Mecklenburg-Vorpommern","(MV)",6.0875,2.4375,6.80872951388889,3,8.48
"Baden-Baden","Baden-Württemberg","Baden-Baden, Baden-Württemberg","(BW)",4.9875,9.15,3.65827951388889,2,12.7
"Augsburg","Bayern","Augsburg, Bayern","(BY)",4.9125,6,5.31447048611111,3,12.5
"Eckernförde","Schleswig-Holstein","Eckernförde, Schleswig-Holstein","(SH)",4.9125,2.8625,6.12708333333333,3,13.64
"Edersee","Hessen","Edersee, Hessen","(HE)",5.375,5.7875,3.96482361111111,3,5.3
